Human_Entrez_ID	Human_Symbol	Mouse_Entrez_ID	Mouse_Symbol
1	A1BG	117586	A1bg
9	NAT1	17960	Nat1
13	AADAC	67758	Aadac
14	AAMP	227290	Aamp
15	AANAT	11298	Aanat
16	AARS1	234734	Aars1
18	ABAT	268860	Abat
19	ABCA1	11303	Abca1
20	ABCA2	11305	Abca2
22	ABCB7	11306	Abcb7
23	ABCF1	224742	Abcf1
24	ABCA4	11304	Abca4
25	ABL1	11350	Abl1
27	ABL2	11352	Abl2
28	ABO	80908	Abo
29	ABR	109934	Abr
30	ACAA1	235674	Acaa1b
31	ACACA	107476	Acaca
32	ACACB	100705	Acacb
33	ACADL	11363	Acadl
34	ACADM	11364	Acadm
35	ACADS	11409	Acads
36	ACADSB	66885	Acadsb
37	ACADVL	11370	Acadvl
38	ACAT1	110446	Acat1
40	ASIC2	11418	Asic2
41	ASIC1	11419	Asic1
43	ACHE	11423	Ache
47	ACLY	104112	Acly
48	ACO1	11428	Aco1
49	ACR	11434	Acr
50	ACO2	11429	Aco2
51	ACOX1	11430	Acox1
52	ACP1	11431	Acp1
53	ACP2	11432	Acp2
54	ACP5	11433	Acp5
55	ACP3	56318	Acp3
56	ACRV1	11451	Acrv1
58	ACTA1	11459	Acta1
59	ACTA2	11475	Acta2
60	ACTB	11461	Actb
70	ACTC1	11464	Actc1
71	ACTG1	11465	Actg1
72	ACTG2	11468	Actg2
81	ACTN4	60595	Actn4
86	ACTL6A	56456	Actl6a
87	ACTN1	109711	Actn1
88	ACTN2	11472	Actn2
89	ACTN3	11474	Actn3
90	ACVR1	11477	Acvr1
91	ACVR1B	11479	Acvr1b
92	ACVR2A	11480	Acvr2a
93	ACVR2B	11481	Acvr2b
94	ACVRL1	11482	Acvrl1
95	ACY1	109652	Acy1
97	ACYP1	66204	Acyp1
98	ACYP2	75572	Acyp2
100	ADA	11486	Ada
101	ADAM8	11501	Adam8
102	ADAM10	11487	Adam10
103	ADAR	56417	Adar
104	ADARB1	110532	Adarb1
105	ADARB2	94191	Adarb2
107	ADCY1	432530	Adcy1
108	ADCY2	210044	Adcy2
111	ADCY5	224129	Adcy5
112	ADCY6	11512	Adcy6
113	ADCY7	11513	Adcy7
114	ADCY8	11514	Adcy8
