Human_GeneID	Human_Symbol	Horse_GeneID	Horse_Symbol
1	A1BG	100064369	A1BG
2	A2M	100061692	A2M
14	AAMP	100058415	AAMP
15	AANAT	100058770	AANAT
16	AARS1	100054983	AARS1
18	ABAT	100051470	ABAT
19	ABCA1	100054241	ABCA1
20	ABCA2	100067889	ABCA2
21	ABCA3	100068313	ABCA3
22	ABCB7	100060544	ABCB7
23	ABCF1	100147183	ABCF1
24	ABCA4	100058746	ABCA4
25	ABL1	100069715	ABL1
26	AOC1	100063930	AOC1
27	ABL2	100053033	ABL2
29	ABR	100059804	ABR
31	ACACA	100071472	ACACA
32	ACACB	100066740	ACACB
34	ACADM	100067343	ACADM
35	ACADS	100147113	ACADS
36	ACADSB	100057998	ACADSB
37	ACADVL	100061583	ACADVL
38	ACAT1	100069718	ACAT1
40	ASIC2	100058355	ASIC2
41	ASIC1	100630368	ASIC1
43	ACHE	100069149	ACHE
47	ACLY	100053195	ACLY
48	ACO1	100067866	ACO1
49	ACR	100057028	ACR
51	ACOX1	100051466	ACOX1
54	ACP5	100056621	ACP5
55	ACP3	100064835	ACP3
70	ACTC1	100057678	ACTC1
72	ACTG2	100057561	ACTG2
81	ACTN4	100066343	ACTN4
86	ACTL6A	100065792	ACTL6A
87	ACTN1	100053070	ACTN1
88	ACTN2	100033870	ACTN2
89	ACTN3	100033871	ACTN3
90	ACVR1	100050899	ACVR1
92	ACVR2A	100049823	ACVR2A
93	ACVR2B	100053588	ACVR2B
95	ACY1	100060631	ACY1
98	ACYP2	100630291	ACYP2
101	ADAM8	111772543	ADAM8
102	ADAM10	100068314	ADAM10
103	ADAR	100056984	ADAR
104	ADARB1	100055928	ADARB1
105	ADARB2	100057531	ADARB2
108	ADCY2	100071337	ADCY2
111	ADCY5	100070498	ADCY5
112	ADCY6	100051295	ADCY6
113	ADCY7	100058891	ADCY7
114	ADCY8	100057796	ADCY8
115	ADCY9	100066046	ADCY9
116	ADCYAP1	100061356	ADCYAP1
117	ADCYAP1R1	100069948	ADCYAP1R1
118	ADD1	100051451	ADD1
119	ADD2	100050348	ADD2
120	ADD3	100059447	ADD3
123	PLIN2	100052253	PLIN2
132	ADK	100072901	ADK
134	ADORA1	100052496	ADORA1
135	ADORA2A	100034039	ADORA2A
140	ADORA3	100063300	TMIGD3
141	ADPRH	100070997	ADPRH
142	PARP1	100058523	PARP1
143	PARP4	100053202	PARP4
146	ADRA1D	100066003	ADRA1D
147	ADRA1B	100071055	ADRA1B
148	ADRA1A	100054461	ADRA1A
150	ADRA2A	100147119	ADRA2A
151	ADRA2B	100051684	ADRA2B
153	ADRB1	100146832	ADRB1
154	ADRB2	100060659	ADRB2
155	ADRB3	100147322	ADRB3
156	GRK2	100059001	GRK2
157	GRK3	111767400	LOC111767400
159	ADSS2	100062135	ADSS2
160	AP2A1	100056103	AP2A1
161	AP2A2	100056318	AP2A2
162	AP1B1	100059054	AP1B1
163	AP2B1	100058050	AP2B1
165	AEBP1	100064946	AEBP1
167	CRISP1	100033953	CRISP1
173	AFM	100055671	AFM
174	AFP	100034185	AFP
175	AGA	100060636	AGA
176	ACAN	100033876	ACAN
177	AGER	100051699	AGER
178	AGL	100050695	AGL
182	JAG1	100064289	JAG1
183	AGT	100065526	AGT
185	AGTR1	100059005	AGTR1
186	AGTR2	100053878	AGTR2
187	APLNR	100066889	APLNR
190	NR0B1	100033899	NR0B1
196	AHR	100066186	AHR
197	AHSG	100068067	AHSG
199	AIF1	100050158	AIF1
202	CRYBG1	100066371	CRYBG1
204	AK2	100055706	AK2
205	AK4	100069665	AK4
207	AKT1	100061130	AKT1
211	ALAS1	100060491	ALAS1
